"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 11 11:01:32 GMT 2023","Mon Sep 11 11:01:32 GMT 2023","8","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"passed","Mon Sep 11 11:01:34 GMT 2023","Mon Sep 11 11:01:34 GMT 2023","6","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"broken","Mon Sep 11 11:01:32 GMT 2023","Mon Sep 11 11:01:32 GMT 2023","15","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"failed","Mon Sep 11 11:01:32 GMT 2023","Mon Sep 11 11:01:34 GMT 2023","2011","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Mon Sep 11 11:01:32 GMT 2023","Mon Sep 11 11:01:32 GMT 2023","9","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Mon Sep 11 11:01:34 GMT 2023","Mon Sep 11 11:01:34 GMT 2023","12","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"passed","Mon Sep 11 11:01:32 GMT 2023","Mon Sep 11 11:01:32 GMT 2023","21","","Labels","","Create new label via api","","Create new label via api",""
