"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 01 13:40:21 GMT 2023","Fri Sep 01 13:40:21 GMT 2023","11","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"passed","Fri Sep 01 13:40:19 GMT 2023","Fri Sep 01 13:40:20 GMT 2023","1004","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"broken","Fri Sep 01 13:40:20 GMT 2023","Fri Sep 01 13:40:20 GMT 2023","12","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"broken","Fri Sep 01 13:40:19 GMT 2023","Fri Sep 01 13:40:19 GMT 2023","6","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"passed","Fri Sep 01 13:40:21 GMT 2023","Fri Sep 01 13:40:21 GMT 2023","7","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"passed","Fri Sep 01 13:40:19 GMT 2023","Fri Sep 01 13:40:19 GMT 2023","3","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Fri Sep 01 13:40:19 GMT 2023","Fri Sep 01 13:40:19 GMT 2023","13","","Labels","","Create new label via api","","Create new label via api",""
